Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
17821, 16, 1164838, 11654, 19, 1078536
11530, 16, 1166601, 11511, 20, 1079502
11440, 16, 1185346, 11293, 20, 1080510
11632, 15, 1172462, 11537, 20, 1079062
12787, 15, 1165696, 11670, 18, 1078869
11486, 16, 1175145, 11284, 20, 1081474
10779, 16, 1174461, 10605, 20, 1079263
11612, 16, 1182180, 11514, 19, 1079017
11166, 16, 1164390, 10965, 20, 1078614
11609, 16, 1187085, 11494, 19, 1081982
----------------

Detection method: Serial
Clock = 570214646.000000, Chrono = 623993979, TimeR = 624.000000
Clock = 570214653.000000, Chrono = 623993982, TimeR = 624.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=0.876863
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
11017, 709, 1297264, 11015, 713, 1179028
17988, 16, 1169713, 11169, 20, 1076364
11185, 48, 1169065, 11164, 52, 1075750
10484, 47, 1181642, 10372, 51, 1079402
10465, 48, 1190968, 10403, 52, 1076768
15224, 18, 1169955, 11681, 21, 1075974
11139, 48, 1180794, 10983, 51, 1078895
11542, 47, 1178032, 11428, 50, 1077781
10835, 47, 1176290, 10832, 51, 1076496
28596, 16, 1168588, 11095, 20, 1076485
10602, 48, 1176778, 10402, 52, 1078147
10420, 47, 1176784, 10394, 52, 1078293
10395, 48, 1176117, 10391, 52, 1076612
17589, 16, 1178580, 10790, 20, 1076898
10246, 16, 1169188, 10125, 20, 1077023
10467, 16, 1176124, 10360, 20, 1078115
10455, 16, 1176218, 10357, 19, 1076874
17704, 16, 1166582, 10948, 19, 1076851
10994, 16, 1168579, 10684, 20, 1078704
10517, 16, 1173960, 10416, 21, 1078136
10731, 16, 1175790, 10576, 20, 1076725
10340, 16, 1172493, 10337, 20, 1076545
